feature,map_eta2,map_inv,version_d,version_inv,side_d,side_inv,universal,triple
1on1_win_percentage,,,0.0248,1,0.3677,1,,0.0
assisted_kills_percentage,0.0423,1.0,0.7152,0,0.2628,1,0.0,0.0
assists_per_round,0.0153,1.0,0.0087,1,0.1145,1,1.0,1.0
attacks_per_round,0.0339,1.0,0.0653,1,0.8241,0,1.0,0.0
clutch_points_per_round,0.0019,1.0,0.039,1,0.0707,1,1.0,1.0
clutching,0.0022,1.0,0.0208,1,0.0078,1,1.0,1.0
damage_per_kill,0.0065,1.0,0.1287,1,0.1225,1,1.0,1.0
damage_per_round,0.0157,1.0,0.0929,1,0.7408,0,1.0,0.0
damage_per_round_win,,,0.0054,1,0.5246,0,,0.0
entrying,0.0674,0.0,0.4351,1,0.0019,1,0.0,0.0
firepower,0.0182,1.0,0.2155,1,0.1451,1,1.0,1.0
flash_assists_per_round,,,0.0182,1,0.0211,1,,0.0
flashes_thrown_per_round,0.2766,0.0,0.1306,1,0.9518,0,0.0,0.0
kills_per_round,0.0207,1.0,0.0363,1,0.1536,1,1.0,1.0
kills_per_round_win,0.0243,1.0,0.2535,1,0.4844,1,1.0,1.0
last_alive_percentage,,,0.0266,1,0.3959,1,,0.0
opening,0.002,1.0,0.0579,1,0.1022,1,1.0,1.0
opening_attempts,0.0008,1.0,0.0462,1,0.0337,1,1.0,1.0
opening_deaths_per_round,0.0002,1.0,0.0454,1,0.0296,1,1.0,1.0
opening_deaths_traded_percentage,,,0.1924,1,0.3913,1,,0.0
opening_kills_per_round,0.0017,1.0,0.0397,1,0.51,0,1.0,0.0
opening_success,,,0.0644,1,0.7586,0,,0.0
pistol_round_rating,0.0033,1.0,0.0584,1,0.0072,1,1.0,1.0
rating_3.0,0.0072,1.0,0.0378,1,0.1063,1,1.0,1.0
rounds_with_a_kill,0.0402,1.0,0.0188,1,0.6592,0,1.0,0.0
rounds_with_a_multi_kill,0.015,1.0,0.0791,1,0.404,1,1.0,1.0
rounds_with_sniper_kills_percentage,,,0.1118,1,0.617,0,,0.0
saved_by_teammate_per_round,0.1018,0.0,0.3796,1,0.6996,0,0.0,0.0
saved_teammate_per_round,0.0961,0.0,0.2617,1,0.3507,1,0.0,0.0
saves_per_round_loss,0.1411,0.0,0.1869,1,1.8747,0,0.0,0.0
sniper_kills_per_round,0.0103,1.0,0.0103,1,0.0874,1,1.0,1.0
sniper_kills_percentage,,,0.1293,1,0.5091,0,,0.0
sniper_multi_kill_rounds,0.0094,1.0,0.1507,1,0.4751,1,1.0,1.0
sniper_opening_kills_per_round,0.0125,1.0,0.0753,1,0.3261,1,1.0,1.0
sniping,0.0024,1.0,0.0595,1,0.1171,1,1.0,1.0
support_rounds,0.1345,0.0,0.7963,0,0.8574,0,0.0,0.0
time_opponent_flashed_per_round,,,0.0432,1,0.2976,1,,0.0
trade_kills_per_round,0.0254,1.0,0.0465,1,0.1214,1,1.0,1.0
trade_kills_percentage,0.0466,1.0,0.2566,1,0.9628,0,1.0,0.0
traded_deaths_per_round,0.0256,1.0,0.0406,1,0.0653,1,1.0,1.0
traded_deaths_percentage,0.0523,1.0,0.3034,1,0.3475,1,1.0,1.0
trading,0.084,0.0,0.4833,1,0.1689,1,0.0,0.0
utility,0.2978,0.0,0.0039,1,0.0976,1,0.0,0.0
utility_damage_per_round,0.2928,0.0,0.1556,1,0.9158,0,0.0,0.0
utility_kills_per_100_rounds,0.0992,0.0,0.0412,1,0.2611,1,0.0,0.0
win_after_opening_kill,,,0.0886,1,0.2073,1,,0.0
