feature,total_variance,map_effect_percentile,version_effect_percentile,side_effect_percentile
opening_attempts,0.06704980842911877,0.05555555555555555,0.1111111111111111,0.034482758620689655
pistol_round_rating,0.17337164750957854,0.16666666666666666,0.25,0.10344827586206896
clutching,0.19412515964240104,0.2222222222222222,0.2222222222222222,0.13793103448275862
opening_deaths_per_round,0.20242656449553,0.027777777777777776,0.027777777777777776,0.5517241379310345
opening,0.2078544061302682,0.1111111111111111,0.3055555555555556,0.20689655172413793
rating_3.0,0.23786717752234995,0.2777777777777778,0.19444444444444445,0.2413793103448276
clutch_points_per_round,0.24904214559386972,0.25,0.08333333333333333,0.41379310344827586
sniping,0.2723499361430396,0.1388888888888889,0.3333333333333333,0.3448275862068966
opening_kills_per_round,0.31577266922094505,0.08333333333333333,0.2777777777777778,0.5862068965517241
sniper_opening_kills_per_round,0.3994252873563218,0.3611111111111111,0.3888888888888889,0.4482758620689655
utility,0.40932311621966794,1.0,0.05555555555555555,0.1724137931034483
sniper_kills_per_round,0.4316730523627075,0.3333333333333333,0.4444444444444444,0.5172413793103449
sniper_multi_kill_rounds,0.4386973180076628,0.3055555555555556,0.5277777777777778,0.4827586206896552
utility_kills_per_100_rounds,0.45051085568326954,0.8333333333333334,0.1388888888888889,0.3793103448275862
firepower,0.49936143039591324,0.5277777777777778,0.6944444444444444,0.27586206896551724
entrying,0.5507662835249042,0.7222222222222222,0.8611111111111112,0.06896551724137931
trade_kills_per_round,0.5539591315453385,0.5555555555555556,0.4166666666666667,0.6896551724137931
attacks_per_round,0.5699233716475095,0.75,0.16666666666666666,0.7931034482758621
kills_per_round,0.570242656449553,0.5,0.5555555555555556,0.6551724137931034
damage_per_round,0.6210089399744572,0.4722222222222222,0.6666666666666666,0.7241379310344828
traded_deaths_per_round,0.651021711366539,0.4444444444444444,0.75,0.7586206896551724
trading,0.6682630906768838,0.7777777777777778,0.9166666666666666,0.3103448275862069
assists_per_round,0.6698595146871008,0.4166666666666667,0.9722222222222222,0.6206896551724138
flashes_thrown_per_round,0.7825670498084291,0.9444444444444444,0.4722222222222222,0.9310344827586207
utility_damage_per_round,0.7895913154533845,0.9722222222222222,0.5,0.896551724137931
saved_teammate_per_round,0.842911877394636,0.8611111111111112,0.8055555555555556,0.8620689655172413
saves_per_round_loss,0.8518518518518517,0.9166666666666666,0.6388888888888888,1.0
saved_by_teammate_per_round,0.8866538952745849,0.8055555555555556,0.8888888888888888,0.9655172413793104
support_rounds,0.8869731800766284,0.8888888888888888,0.9444444444444444,0.8275862068965517
