feature,ct_mean,t_mean,difference,t_statistic,p_value,cohens_d,invariant
opening_attempts,20.12581755593804,20.121026965002866,0.004790590935172645,0.043041117670134875,0.9656712227830455,0.0007289871096605036,True
entrying,0.4571572002294894,0.4558777969018933,0.0012794033275961292,0.27702694477837186,0.7817758463026401,0.004692003430761105,True
pistol_round_rating,1.098962048192771,1.1032266207687895,-0.004264572576018422,-0.5090636935630685,0.6107398074101382,0.00862200822589556,True
clutching,0.49636259323006315,0.4935714285714286,0.0027911646586345484,0.6089009016613808,0.5426298141115335,0.010312950322844475,True
utility,0.5490590935169248,0.5420797475616753,0.006979345955249516,2.1221238978717327,0.03389768718874829,0.03594239765117486,False
opening,0.5324928284566839,0.5048881239242685,0.02760470453241537,5.9976011057565,2.2070970204227136e-09,0.10158132808005148,False
rating_3.0,1.0815203671830178,1.0570596672403902,0.024460699942627562,8.088479608125862,8.25757063795324e-16,0.13699452268561682,False
firepower,0.5891336775674125,0.5474670109007459,0.04166666666666663,8.654103421554963,7.465432625463844e-18,0.14657448926703617,False
trading,0.4524756167527252,0.4954733218588641,-0.04299770510613893,-9.878519794257265,1.0227833312648524e-22,0.16731242082815342,False
sniping,0.2045697074010327,0.17446643717728055,0.030103270223752143,13.733659746124216,7.696711103669052e-42,0.23260689929375913,False
utility_kills_per_100_rounds,0.9647045324153758,0.6994836488812392,0.26522088353413664,15.83748204318063,1.3190513356879273e-54,0.268239322859624,False
clutch_points_per_round,0.016887263339070566,0.026644865174985658,-0.009757601835915092,-24.677365595403465,4.674317718074812e-124,0.41796036890350463,False
sniper_opening_kills_per_round,0.025170481927710847,0.010601663798049341,0.014568818129661506,27.115132509886987,4.464372282769826e-147,0.4592488101246403,False
sniper_multi_kill_rounds,0.027924727481353988,0.013513941480206541,0.014410786001147447,28.577552837243992,1.4643377456036029e-161,0.4840178130050762,False
sniper_kills_per_round,0.10568273092369479,0.05690476190476191,0.04877796901893288,31.436007892156326,3.470264569363347e-191,0.5324314463253113,False
opening_deaths_per_round,0.08624211130235228,0.10988525530694206,-0.023643144004589778,-32.34422179926604,6.223914923546695e-201,0.5478138589329834,False
opening_kills_per_round,0.11501434308663226,0.0912352266207688,0.023779116465863462,32.446795072055295,4.829330793283632e-202,0.5495511417385119,False
assists_per_round,0.1721113023522662,0.14208548479632818,0.030025817555938028,35.57122730431166,1.0416499855684412e-236,0.6024696286555722,False
kills_per_round,0.7257544463568562,0.6479403327596098,0.07781411359724633,40.82417432452789,4.007192917907334e-298,0.6914387556846375,False
trade_kills_per_round,0.12069420539300058,0.15173264486517496,-0.031038439472174384,-41.22206218066468,6.601500909377279e-303,0.6981777795277716,False
damage_per_round,78.96161790017212,71.33330464716008,7.628313253012038,44.143306566491944,0.0,0.7476548753076013,False
traded_deaths_per_round,0.11692484222604706,0.14681296615031553,-0.02988812392426847,-44.448459120503365,0.0,0.7528232419856968,False
attacks_per_round,2.815418818129661,2.4394262765347103,0.37599254159495077,49.43516652189712,0.0,0.837283070448448,False
support_rounds,21.278313253012048,16.88006310958118,4.398250143430868,51.53438265858608,0.0,0.8728374795083086,False
saved_teammate_per_round,0.08350545037292026,0.12091795754446358,-0.03741250717154332,-53.68599574170697,0.0,0.9092793352842882,False
utility_damage_per_round,5.738092369477912,3.4511015490533565,2.2869908204245557,55.06826619106566,0.0,0.9326908402403109,False
flashes_thrown_per_round,0.4761790017211704,0.7199254159495123,-0.24374641422834192,-57.291062958655566,0.0,0.9703383335834593,False
saved_by_teammate_per_round,0.08099541021227769,0.11696500286861733,-0.035969592656339644,-57.7213785853829,0.0,0.9776265863508211,False
saves_per_round_loss,13.062306368330464,2.6868043602983365,10.375502008032129,115.92411874632195,0.0,1.9634059903481458,False
