feature,cs2_mean,csgo_mean,difference,p_value,cohens_d,invariant
opening_deaths_per_round,0.09802747252747254,0.09794117647058824,8.629605688430242e-05,0.7727581044520955,0.002960594421460974,True
utility,0.5477637362637362,0.5484933973589435,-0.0007296610952073346,0.8712427307601458,0.0036536762324607436,True
clutch_points_per_round,0.021642857142857144,0.021999399759903962,-0.0003565426170468178,0.5243351778280895,0.02861064284143545,True
opening_attempts,20.05115384615384,20.213805522208883,-0.1626516760550416,0.068251549936638,0.03570804075756127,True
utility_kills_per_100_rounds,0.8504010989010989,0.8279111644657863,0.022489934435312664,0.25036675538237874,0.038585345386613526,True
attacks_per_round,2.6556263736263737,2.6363985594237693,0.019227814202604332,0.42492489593484184,0.04429653545942071,True
rating_3.0,1.0669615384615383,1.0724909963985594,-0.005529457937021087,0.004297827070485074,0.05010331739771118,False
clutching,0.5125494505494506,0.5006122448979592,0.011937205651491367,0.1415711926909473,0.05899828371601058,True
pistol_round_rating,1.0928516483516484,1.1100900360144057,-0.017238387662757315,0.17996901786643216,0.06358496925620592,True
opening_kills_per_round,0.1024945054945055,0.1042196878751501,-0.001725182380644591,0.007352148439160339,0.06387059580507205,False
opening,0.5197802197802198,0.536530612244898,-0.016750392464678132,0.020114897962398525,0.07580494671584223,False
sniping,0.1849175824175824,0.21385954381752698,-0.028941961399944566,1.1052189079483218e-30,0.082361554648763,False
rounds_with_a_kill,46.4487912087912,46.87376950780312,-0.42497829901191864,2.0439428637449426e-05,0.1091181226761831,False
sniper_opening_kills_per_round,0.01611758241758242,0.020015846338535415,-0.003898263920952997,9.638001451403003e-34,0.11669451485874802,False
trade_kills_per_round,0.1375989010989011,0.1340456182472989,0.0035532828516021964,2.0826752996086837e-06,0.13504603748502933,False
sniper_kills_per_round,0.07305494505494506,0.09245498199279711,-0.019400036937852055,9.246165325315106e-36,0.13946814568719632,False
flashes_thrown_per_round,0.5765989010989011,0.6066686674669868,-0.03006976636808567,2.371777369665397e-07,0.15133590839200148,False
utility_damage_per_round,4.755505494505495,4.455234093637455,0.3002714008680396,3.8080851508218524e-05,0.15150840169515298,False
sniper_multi_kill_rounds,0.01820043956043956,0.023890456182472992,-0.005690016622033431,4.175526292971196e-31,0.15260369241129582,False
kills_per_round,0.6814505494505495,0.6937815126050421,-0.012330963154492558,7.532321940874486e-11,0.16595330076238798,False
rounds_with_a_multi_kill,16.47708791208791,16.947058823529414,-0.4699709114415036,6.861837582962121e-11,0.1680248066733995,False
damage_per_kill,109.73241758241758,108.36374549819928,1.3686720842183036,1.6237424121942176e-06,0.17100125828535903,False
saves_per_round_loss,8.217527472527474,7.541776710684273,0.6757507618432008,6.292228752437139e-10,0.1856611482268232,False
damage_per_round,74.54329670329669,75.91008403361344,-1.366787330316754,5.926161646810209e-11,0.19504534278239455,False
firepower,0.5736703296703296,0.6276950780312125,-0.05402474836088289,5.087002349729017e-12,0.22597466824313212,False
trade_kills_percentage,20.21527472527473,19.40750300120048,0.8077717240742466,2.9932861141333526e-17,0.23048077829911456,False
traded_deaths_per_round,0.13485714285714284,0.12813925570228094,0.006717887154861907,3.7021304275885496e-17,0.2573253820998587,False
kills_per_round_win,0.9313296703296703,0.9612244897959182,-0.029894819466247946,1.0993109350371905e-18,0.26910768855754097,False
saved_teammate_per_round,0.1057912087912088,0.09873949579831932,0.007051712992889481,3.063456057969074e-24,0.2932286572737596,False
traded_deaths_percentage,20.57423076923077,19.4328331332533,1.1413976359774693,5.488876607769874e-28,0.3269186318523018,False
entrying,0.5017472527472527,0.3951680672268907,0.10657918552036205,7.001758639311718e-37,0.4414280112824475,False
saved_by_teammate_per_round,0.10437912087912089,0.0939015606242497,0.01047756025487119,8.763125950524223e-52,0.47129473814322287,False
trading,0.48875274725274725,0.3868547418967587,0.10189800535598853,3.851429688309158e-43,0.486176114296439,False
support_rounds,20.724615384615387,17.570408163265306,3.154207221350081,5.0003612039947535e-172,0.9634201080068999,False
assists_per_round,0.18774725274725276,0.1235654261704682,0.06418182657678456,0.0,1.8012956968708216,False
assisted_kills_percentage,27.058186813186815,17.838355342136854,9.219831471049961,0.0,2.5112147621008796,False
