Feature,Mean,Std,Std/Mean (%)
t_utility_kills_per_100_rounds,0.749,0.504,67.29
t_time_opponent_flashed_per_round,1.817,0.253,13.924
t_flashes_thrown_per_round,0.747,0.211,28.246
t_sniper_kills_percentage,0.106,0.172,162.264
t_sniper_kills_per_round,0.07,0.116,165.714
t_time_alive_per_round,1.026,0.11,10.721
t_rounds_with_sniper_kills_percentage,0.056,0.092,164.286
t_utility_damage_per_round,0.263,0.087,33.08
t_damage_per_kill,1.067,0.085,7.966
t_opening_deaths_traded_percentage,0.26,0.082,31.538
t_opening_success,0.46,0.062,13.478
t_damage_per_round,0.724,0.059,8.149
t_damage_per_round_win,0.523,0.057,10.899
t_opening_attempts,0.201,0.048,23.881
t_win_after_opening_kill,0.743,0.047,6.326
t_last_alive_percentage,0.117,0.037,31.624
t_trade_kills_percentage,0.22,0.037,16.818
t_rounds_with_a_kill,0.454,0.033,7.269
t_trade_kills_per_round,0.146,0.033,22.603
t_opening_deaths_per_round,0.11,0.032,29.091
t_assisted_kills_percentage,0.189,0.032,16.931
t_traded_deaths_percentage,0.195,0.031,15.897
t_sniper_multi_kill_rounds,0.018,0.03,166.667
t_assists_per_round,0.124,0.028,22.581
t_support_rounds,0.15,0.026,17.333
t_traded_deaths_per_round,0.137,0.025,18.248
t_flash_assists_per_round,0.042,0.024,57.143
t_saved_teammate_per_round,0.105,0.023,21.905
t_sniper_opening_kills_per_round,0.012,0.021,175.0
t_opening_kills_per_round,0.091,0.021,23.077
t_saved_by_teammate_per_round,0.098,0.019,19.388
t_rounds_with_a_multi_kill,0.16,0.019,11.875
t_saves_per_round_loss,0.026,0.016,61.538
t_clutch_points_per_round,0.027,0.01,37.037
t_pistol_round_rating,0.033,0.006,18.182
t_kills_per_round_win,0.05,0.005,10.0
t_kills_per_round,0.012,0.004,33.333
t_1on1_win_percentage,0.0,0.0,0.0
t_attacks_per_round,0.0,0.0,0.0
