player,firepower,kpr,damage_per_round,dpr_win,rounds_with_kill,rating_1,rounds_with_multi_kill
Snappi,41,0.64,71.8,86.0,44.7%,0.94,14.8%
s1mple,97,0.85,85.3,89.6,54.0%,1.24,22.4%
ZywOo,98,0.84,87.4,113.2,53.1%,1.33,22.3%
NiKo,94,0.79,85.4,95.6,50.8%,1.15,20.3%
rain,74,0.70,79.3,90.6,46.9%,1.02,17.4%
ropz,80,0.74,78.3,99.4,49.4%,1.15,18.4%
karrigan,29,0.61,67.9,64.2,42.5%,0.90,14.4%
b1t,68,0.70,75.8,97.4,47.5%,1.12,17.3%
Aleksib,36,0.62,72.2,91.8,43.5%,0.94,14.4%
Senzu,83,0.74,80.3,105.5,48.3%,1.14,18.6%
910,63,0.71,72.3,90.8,48.3%,1.11,17.3%
bLitz,83,0.73,82.6,105.7,48.7%,1.14,18.2%
mzinho,48,0.65,72.4,92.2,44.3%,1.04,15.7%
Techno,55,0.67,73.4,95.0,45.4%,1.04,16.3%
XANTARES,97,0.81,89.1,108.7,51.5%,1.16,21.2%
jL,79,0.73,78.7,102.0,48.5%,1.12,18.2%
Spinx,79,0.73,78.0,99.1,48.9%,1.13,18.4%
